Date,Time,Engineer,Feed_System,Feedbin_Level,Signs_Pre-Steam_Bin_Chute_Clogging,Boiler,High_Pressure_Seals,Low_Pressure_Seals,Seal_Water_Filter_Inlet_Pressure,Seal_Water_Filter_Outlet_Pressure,Top_Knife_Gate_Flush_System,Top_Knife_Gate_Movement,Top_Knife_Gate_Packing,Bottom_Knife_Gate_Flush_System,Bottom_Knife_Gate_Movement,Bottom_Knife_Gate_Packing,Top_Ball_Valve,Bottom_Ball_Valve,Gear_Drive_Temp,Vibrator_Pressure,Hydrolyzer_Vent_Positon,Squeezing_Hz,Blow_Tank_Samples,Percentage_Presteam_Livebottom_Speed,Flow_Rate_Test,Shift_Change_System_Pressure,Shift_Change_System_Temp,System_Shut_Down_During_Shift,If_Shut_Down_Boiler_Blow_Down,BBD_Fully_Close,Wash_Down,Notes
2015-02-27,14:00,JS,Ran well ,Good,Good,Good,Good,Good,61,59,NA,NA,NA,NA,NA,NA,Good,Good,See notes,40,Cracked,No,Yes,80,No,See notes,See notes,NA,Yes,NA,NA,The hydrolyzer discharge screw's gear drive shear pin broke at random | Caused the shaft to stop moving and the motor to free spin | The HMI indicated no problems | Amps looked a little flatter than usual but nothing significantly noticeable | The pressure at the end of the hydrolyzer started increasing and the temp started decreasing | Shortly after that was noticed the amps on the hydrolyzer started rising slowly | About 20 minutes went by before realized the hydrolyzer discharge was shut down
2015-03-04,12:00,KW,Ran well,Good,Good,Good,Good,Good,61,59,NA,NA,NA,NA,NA,NA,Good,Good,NA,40,Cracked,No,No,80,No,150,366,NA,No,NA,NA,NA
2015-03-11,08:00,JS,Ran well,Good,No problems,Good,Good,Good,61,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,Cracked,No,Yes,80,Yes,150,366,NA,No,NA,NA,Steam leak in acid inlet to the T-pipe | The acid pump was also giving much trouble | Had to increase stroke length from 50% to 80%
2015-03-11,20:00,PW,Ran well,Good,No problems,Good,Good,Good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,Cracked,No,Yes,80,No,151,366,NA,NA,NA,NA,NA
2015-03-17,14:23,KW,Ran well,Good,No problems,Good,Good,Good,64,63,NA,NA,NA,NA,NA,NA,Good,Good,NA,40,Cracked,No,No,80 is highest reached,No,150,366,NA,Yes,NA,NA,See notes for this date on Start Up Summary for issues that occurred
2015-03-20,NA,PW,Ran well,Good,No problems,Good,Good,Good,64,63,NA,NA,NA,NA,NA,NA,Good,Good,NA,41,Cracked,Yes,No,80 is highest reached,No,151,366,NA,Yes,NA,NA,Squeezing rate was very slow | For 10 hours of squeezing only filled the conical section about 3/4 of the way up or about 35 gallons
2015-03-23,16:00,JS,Ran well,Good,See notes,Good,Good,Good,61,58,NA,NA,NA,NA,NA,NA,Good,See notes,NA,See notes,Cracked,Yes,1,80,No,152,366,NA,No,NA,NA,Soon after it looked like a plug was forming on start up and the amps dived down on the PSF | Cranked up the vibrator to 80 PSI and reduced the PSF to 80% speed | Amps eventually went back up but  same thing happened right before shift turnpver at 16:00 | The pre-steam transfer conveyor never showed any struggle | The only worry was the low amps on the PSF | Increasing vibrator pressure seemed to help but it as hard to tell | Once the amps went back up the vibrator was turned back to 60 PSI | The bottom ball valves squeals when opening and closing and think it's the actuator
2015-03-24,07:22,KW,Ran well,Good,Clogged once and caused a shut down,Good,Good,Good,63,60,NA,NA,NA,NA,NA,NA,Good,See notes,NA,40,Cracked,Yes,1,80,No,150,366,NA,No,NA,NA,The bottom ball valve is making high pitched noises when opening and closing | Might be the seat and ball catching and releasing
2015-03-24,16:00,JS,Ran well,Good,Good,Good,Good,Good,63,59,NA,NA,NA,NA,NA,NA,Good,Same as prior shift and not worse,NA,40,Cracked,Yes,No,80,No,150,366,NA,No,NA,NA,Squeezing rate is about 2% per hour in the C5 tank | Started squeezing residual cake with small screw press on the ground | getting about 7.5 gallons per hour | Steam leak by acid inlet is slowly getting worse
2015-03-25,16:00,PG,Good,Good,Clogged and ran through,Good,Good,Good,NA,NA,NA,NA,NA,NA,NA,NA,Good,Same as prior shift and not worse,NA,40 and 80,Cracked,Yes,No,80 to 100,No,149,366,NA,No,NA,NA,Almost clogged and decreased screw speeds and ran it out | Vibrator went to 80 PSI for about 40 minutes
2015-03-25,23:00,PW,Good,Good,Good,Good,Good,Good,NA,NA,NA,NA,NA,NA,NA,NA,See notes,See notes,NA,40,Cracked,Yes,No,80,No,150,366,NA,Yes,NA,NA,The hydrolyzer discharger tripped itself immediately after a large amperage spike was witnessed in the control room | The shear pin was still intact | Reversed the screw and unclogged whatever caused the amp spike | The top ball valve actuator diaphragm busted wide open during shutdown | It was the actreg double acting actuator | The plan is to install the spare spring loaded actuator first thing next week | Then operating two spring acting actuators | The bottom ball valve noise has been solved | It was due to a dry indicator shaft on the actuator
2015-03-30,24:00,JS,Good,Good,No problems,Good,Good,Good,61,53,NA,NA,NA,NA,NA,NA,See notes,Good,NA,40,Cracked,Yes,No,80,No,151,366,NA,No,NA,NA,Top ball valve good after the initial problem at start up | The differential was too high for the seal gauges so switched flow direction | Seal water filter outlet pressure too low | Need to clean out screens soon
2015-03-31,08:00,PW,See notes,Good,See notes,Good,Good,Good,NA,NA,NA,NA,NA,NA,NA,NA,Good,Good,NA,40,Cracked,Yes,NA,80,No,150,366,NA,No,NA,NA,Large piece of wood debris clogged metal detector chute | The cablevey 2 cable discs were broken
2015-04-01,24:00,JS,Good,Good,No problems,Good,Good,Good,59,55,NA,NA,NA,NA,NA,NA,Good,Good,NA,41,Cracked,Yes,1,80,No,151,366,Yes,No,No,Yes,Squeeze rate is very slow
2015-04-07,08:00,JS,Good,Good,See notes,Good,Good,Good,61,59,NA,NA,NA,NA,NA,NA,Good,Good,NA,40,Cracked,See notes,1,80,No,150,366,No,NA,NA,NA,Squeezing hydrolysate using the small screw press on the floor | Since the rate of the screw press cannot keep up with the rate of cake out of the system we are saving the cake and going to squeeze for an extended time after we shut down METSO | The reason to not just slow down the METSO throughput is because conditions will be too far from normal and it will add uneeded hours on the machinery | The plug screw amps were all over the place today and dipping down below 9 and then up to 14 | The plug screw speed ranged from 100 to 127%
2015-04-08,06:45,KW,Good,Good,Slight but worked through it,Good,Good,Good,61,59,NA,NA,NA,NA,NA,NA,Good,Good,NA,40,Cracked,Small screw press,1,80,No,150,366,No,NA,NA,NA,NA
2015-04-08,09:40,PG | LW,See notes,70 to 80 percent,NA,Shut down,Shut down,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,Good,Not checked before shut down,40 when shut down,Open,No,NA,80 before shut down,NA,NA,NA,Yes,See notes,Not completely,Yes,Randy cleaned feed system while shut down | BBD marking is gone | Blew down level sensor and level indicator and main tank
2015-04-09,20:00,JS | PG,Good,Good,See notes,Good,Good,Good,62,59,NA,NA,NA,NA,NA,NA,Good,Good,NA,40,Cracked,No,No,80,No,150,365.7,No,NA,NA,NA,Really bad chute clogg | One of the vibrator bolts broke shut down | Had to shut down for a couple hours
2015-04-10,20:00,JS,Good,Good,See notes,Good,Good,Good,62,58,NA,NA,NA,NA,NA,NA,Good,Good,NA,Vibrator broken ,Cracked,No,1,80,No,150,364.8,No,NA,NA,NA,The vibrator stopped working completely | Had one bad clog in the presteam chute so Leo and I went up and hit both sides of the chute with hammers and it cleard out
2015-04-11,08:00,KW,Good,Good,No,Good,See notes,Good,62,58,NA,NA,NA,NA,NA,NA,Good,See notes,NA,Vibrator broken ,Cracked,No,1,80,No,150,364.8,No,NA,NA,NA,The actuator shaft connection wore down | A new fitting had to be fabricated | High pressure seals bad owing to air pocket
2015-04-11,11:00,PW,Good,Good,No,Good,Good,Good,61,59,NA,NA,NA,NA,NA,NA,Good,Good,NA,NA,Cracked,Yes,No,80,No,150,365.1,Yes,Yes,NA,Yes,NA
2015-04-11,20:00,JS,Good,Good,No,Good,See notes,See notes,NA,NA,NA,NA,NA,NA,NA,NA,Good,Good,NA,NA,Cracked,See notes,1,80,No,150,365.1,No,NA,NA,NA,Had a power outage | Seal water pressure started bouncing twice
2015-04-12,07:13,KW,Good,Good,No,Good,Good,Good,61,59,NA,NA,NA,NA,NA,NA,Good,Good,NA,NA,Cracked,Small screw press,No,80,No,150,365.1,Yes,Yes,NA,Yes,NA
2015-04-20,20:00,KW,Good,Good,No,Good,Good,Good,63,59,NA,NA,NA,NA,NA,NA,Good,Good,NA,40,Cracked,No,No,80,No,150.3,365.3,No,NA,NA,NA,NA
2015-04-21,08:00,JS | PG,Good,Good,No,Good,Good,Good,62,57,NA,NA,NA,NA,NA,NA,Good,Good,NA,Not working,Cracked,Small screw press,1,80,Yes,150.5,365.1,No,NA,NA,NA,The cablevey 2 cable fell shut down the lower track for no apparent reason | Caused the feed system to shut down but we got things going again within five minutes so no delays | Pressure went down during operation spontaneously
2015-04-21,20:00,KW,See notes,Good,No,Good,Good,Good,62,57,NA,NA,NA,NA,NA,NA,Good,Good,NA,Not working,Cracked,Small screw press,No,80,No,150.2,365.3,Yes,Yes,Not completely,Yes,Same as above  
2015-05-05,20:00,JS | LW,Good,Good,No,Good,Good,Good,61,59,NA,NA,NA,NA,NA,NA,Good,Good,NA,Not using,Cracked,Small screw press,No,80,Yes,151.4,366.6,No,NA,NA,NA,NA
2015-05-06,07:15,KW,Good,Good,No,Good,Good,Good,65,57,NA,NA,NA,NA,NA,NA,Good,Good,NA,Not using,Cracked,Small screw press,2,80,No,150.3,363.2,Yes,Yes,NA,Yes,NA
2015-05-20,06:47,LW,Good,Good,See notes,Good,Good,Good,62,60,NA,NA,NA,NA,NA,NA,Good,Good,NA,Not using,Cracked,Small screw press,No,60,Begininning at 07:00,150.2,364.8,No,NA,NA,NA,Pre-Steam bin chute clogged one time then about to clog | Beat the chute with hammer and slowed PSBLBs to 50% to solve the problem
2015-05-21,02:00,LW,Shut down,Shut down,Shut down,Shut down,Shut down,Shut down,62,59,NA,NA,NA,NA,NA,NA,Good,Good,NA,Not using,Open after shut down,No,Yes,60,No,150.2,364.8,Yes,Yes,Yes,Yes,NA
2015-06-03,08:00,JS,Good,See notes,No,Good,Good,Good,63,60,NA,NA,NA,NA,NA,NA,Good,Good,NA,Not using,Cracked,Small screw press,Yes,60,Yes,149.5,365.3,No,NA,NA,NA,Not using pre-steam bin paddle | Flow rate appears to be erratic and it may be due to inconsistent feed
2015-06-03,19:45,LW,Good,Same as morning shift,No,Good,Good,Good,63,60,NA,NA,NA,NA,NA,NA,Good,Good,NA,Not using,Cracked,Small screw press,Yes,60,No,150.8,365.7,No,NA,NA,NA,NA
2015-06-23,06:03,LW,Good,Good,No,Good,Good,Good,61,59,NA,NA,NA,NA,NA,NA,Good,Good,NA,Not using,Cracked,No,No,60,No,NA,NA,No,NA,NA,NA,NA
2015-06-24,07:25,LW,Good,Good,No,Good,Good,Good,63,60,NA,NA,NA,NA,NA,NA,Good,Good,NA,Not using,Cracked,No,Yes,60,No,150,364.6,No,NA,NA,NA,NA
2015-06-24,19:15,KW,Good,Good,No,Good,Good,Good,63,60,NA,NA,NA,NA,NA,NA,Good,Good,NA,Not using,Cracked,No,No,60,No,150.1,364.7,Yes,Yes,Not completely,Yes,NA
2015-07-07,10:45,KW,Good,Good,Once on startup due to new screw,Good,Good ,Good,63,60,NA,NA,NA,NA,NA,NA,Good,Good,NA,Not using,Cracked,Yes,1,100,Mini flow rates,150,364.6,Yes,Yes,Not completely,Yes,NA
2015-07-14,07:26,LW,Good,Full,See notes,Good,Good,Good,61,59,NA,NA,NA,NA,NA,NA,Good,Good,NA,Not using,Cracked,No,Yes,100,Mini flow rates,155,364,No,NA,NA,NA,Two clogged | 2 plugs blown | Resumed operation | Had problem keeping pressure | Found blow back dampener was pushed out | cleared it out for seven minutes and it went all the way in | Good for Now | Took a smallblow tank sample for dry weight
2015-07-23,17:00,KW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-08-08,20:20,KW,Good,Full,Three close calls,Good,Good,Good,63,60,NA,NA,NA,NA,NA,NA,Good,Good,NA,Not using,Cracked,Yes,No,100,No,149.9,364.5,Yes,Yes,Not completely,Yes,NA
